map_name,map_description,file_path,date_created,analysis_id,sample_name,project_name
21_GR_14Y_PPL.czi,Point Data Map visualizing specific data points across the sample.,project_1/sample_1/AxioImager/21_GR_14Y_PPL.czi,2023-08-16,1,sample_1,project_1
21_GR_14Y_PPL.tif,Elemental Map displaying the elemental composition of the sample.,project_1/sample_1/AxioImager/21_GR_14Y_PPL.tif,2021-12-11,1,sample_1,project_1
21_GR_14Y_XPL.czi,Heat Map showing the distribution of temperature in the sample.,project_1/sample_1/AxioImager/21_GR_14Y_XPL.czi,2023-10-13,1,sample_1,project_1
21_GR_14Y_XPL.tif,Intensity Map representing the intensity levels of features in the sample.,project_1/sample_1/AxioImager/21_GR_14Y_XPL.tif,2021-10-04,1,sample_1,project_1
21_GR_14Y_PPL_Cleavage_Zoning.jpg,Point Data Map visualizing specific data points across the sample.,project_1/sample_1/AxioScope/21_GR_14Y_PPL_Cleavage_Zoning.jpg,2021-08-17,2,sample_1,project_1
21_GR_14Y_PPL_Cluster1.jpg,Heat Map showing the distribution of temperature in the sample.,project_1/sample_1/AxioScope/21_GR_14Y_PPL_Cluster1.jpg,2021-10-06,2,sample_1,project_1
21_GR_14Y_PPL_X1.jpg,Density Map highlighting areas of higher or lower density in the sample.,project_1/sample_1/AxioScope/21_GR_14Y_PPL_X1.jpg,2023-04-12,2,sample_1,project_1
21_GR_14Y_XPL_Cleavage_Zoning.jpg,Elemental Map displaying the elemental composition of the sample.,project_1/sample_1/AxioScope/21_GR_14Y_XPL_Cleavage_Zoning.jpg,2021-12-28,2,sample_1,project_1
21_GR_14Y_XPL_Cluster1.jpg,Elemental Map displaying the elemental composition of the sample.,project_1/sample_1/AxioScope/21_GR_14Y_XPL_Cluster1.jpg,2022-01-06,2,sample_1,project_1
21_GR_14Y_XPL_X1.jpg,Elemental Map displaying the elemental composition of the sample.,project_1/sample_1/AxioScope/21_GR_14Y_XPL_X1.jpg,2022-03-25,2,sample_1,project_1
C-01ZoneTest2_BSE.tif,Elemental Map displaying the elemental composition of the sample.,project_1/sample_1/ZeissSEM/21_GR_14Y_C-01ZoneTest2/C-01ZoneTest2_BSE.tif,2021-07-05,3,sample_1,project_1
C-01ZoneTest2_PhaseMap.tif,Correlation Map revealing relationships between different variables.,project_1/sample_1/ZeissSEM/21_GR_14Y_C-01ZoneTest2/C-01ZoneTest2_PhaseMap.tif,2022-08-24,3,sample_1,project_1
Al_512481492023.csv,Point Data Map visualizing specific data points across the sample.,project_1/sample_1/ZeissSEM/21_GR_14Y_C-01ZoneTest2/ElementMaps/Al_512481492023.csv,2021-02-25,3,sample_1,project_1
Si_512481492023.csv,Intensity Map representing the intensity levels of features in the sample.,project_1/sample_1/ZeissSEM/21_GR_14Y_C-01ZoneTest2/ElementMaps/Si_512481492023.csv,2022-06-22,3,sample_1,project_1
Sn_512481492023.csv,Point Data Map visualizing specific data points across the sample.,project_1/sample_1/ZeissSEM/21_GR_14Y_C-01ZoneTest2/ElementMaps/Sn_512481492023.csv,2023-07-26,3,sample_1,project_1
